,Item,kmeans,hierarchical_clustering
0,FAR008,11,13
1,FAR010,11,10
2,FAR039,11,7
3,FAR042,11,8
4,FAR043,11,13
5,FAR044,11,13
6,FAR045,3,13
7,FAR046,11,5
8,FAR047,3,7
9,FAR049,11,5
10,FAR052,11,11
11,FAR054,11,1
12,FAR055,11,6
13,FAR056,11,0
14,FAR057,11,3
15,FAR059,11,13
16,FAR060,11,13
17,FAR070,11,12
18,FAR071,11,8
19,FAR072,11,7
20,FAR073,11,1
21,FAR074,13,5
22,FAR076,5,7
23,FAR077,1,8
24,FAR078,5,3
25,FAR080,2,10
26,FAR081,7,12
27,FAR082,0,2
28,FAR083,0,2
29,FAR086,0,2
30,FAR088,0,2
31,FAR089,0,2
32,FAR094,0,2
33,FBR048,11,13
34,FBR050,11,11
35,FBR051,3,2
36,FBR053,10,1
37,FBR054,10,8
38,FBR055,10,0
39,FBR057,6,8
40,FBR058,12,10
41,FBR059,13,12
42,FBR060,3,11
43,FBR061,13,11
44,FBR062,13,12
45,FBR063,3,9
46,FBR064,3,12
47,FBR065,13,8
48,FBR066,13,4
49,FBR067,10,13
50,FBR068,12,12
51,FBR069,10,5
52,FBR070,6,13
53,FBR071,6,4
54,FBR072,6,9
55,FBR073,10,10
56,FBR074,5,13
57,FBR075,5,1
58,FBR076,5,13
59,FBR077,5,8
60,FBR078,0,2
61,FBR079,0,2
62,FBR080,0,2
63,FBR081,0,2
64,FBR082,0,2
65,FBR083,0,2
66,FBR084,0,2
67,FBR085,0,2
68,FBR087,0,2
69,FCL018,10,0
70,FCL019,10,13
71,FFC090,1,5
72,FFC091,1,12
73,FFC092,5,10
74,FFC093,5,6
75,FFC094,4,3
76,FFC095,7,8
77,FFC096,9,10
78,FFC097,7,7
79,FFC098,0,2
80,FFC105,0,2
81,FFC106,0,2
82,FFC108,0,2
83,FFC109,0,2
84,FFC110,0,2
85,FGS130,3,3
86,FGS131,11,10
87,FGS139,11,9
88,FGS141,3,2
89,FGS151,11,8
90,FGS153,13,0
91,FGS156,11,13
92,FGS157,3,3
93,FGS158,3,11
94,FGS159,5,2
95,FGS160,11,1
96,FGS161,3,10
97,FGS162,13,2
98,FGS163,3,0
99,FGS164,13,11
100,FGS165,13,5
101,FGS166,3,4
102,FGS167,13,3
103,FGS168,3,7
104,FGS169,5,4
105,FGS170,10,13
106,FGS171,13,2
107,FGS172,6,0
108,FGS173,3,8
109,FGS174,13,3
110,FGS175,13,10
111,FGS176,6,13
112,FGS177,3,0
113,FGS178,3,0
114,FGS179,10,10
115,FGS180,5,10
116,FGS182,5,10
117,FGS183,6,9
118,FGS184,10,4
119,FGS186,13,10
120,FGS187,6,6
121,FGS188,0,2
122,FGS189,0,2
123,FGS190,0,2
124,FGS191,0,2
125,FGS192,0,2
126,FGS194,0,2
127,FGS195,0,2
128,FGS196,0,2
129,FGS197,0,2
130,FGS198,0,2
131,FGS199,0,2
132,FGS200,0,2
133,FGW068,11,6
134,FGW080,3,2
135,FGW081,3,2
136,FGW082,3,6
137,FGW084,3,13
138,FGW085,3,0
139,FGW086,3,13
140,FGW087,3,8
141,FGW089,3,1
142,FGW090,3,7
143,FGW091,3,2
144,FGW092,3,9
145,FGW093,3,1
146,FGW096,2,0
147,FGW097,0,2
148,FGW098,4,1
149,FGW101,4,11
150,FGW102,9,10
151,FGW103,9,7
152,FGW104,9,1
153,FGW105,9,2
154,FGW106,0,2
155,FGW107,0,2
156,FGW108,0,2
157,FGW109,0,2
158,FJL095,11,2
159,FJL096,3,7
160,FJL113,11,8
161,FJL119,6,4
162,FJL120,10,3
163,FJL121,10,2
164,FJL122,13,13
165,FJL123,5,13
166,FJL124,10,4
167,FJL125,10,4
168,FJL126,6,6
169,FJL128,6,11
170,FJL130,6,6
171,FJL131,10,0
172,FJL132,0,2
173,FJL133,0,2
174,FJL134,0,2
175,FJL135,0,2
176,FJL136,0,2
177,FJL137,0,2
178,FJL138,0,2
179,FJT000,0,2
180,FJT223,11,0
181,FJT224,11,8
182,FJT230,3,0
183,FJT252,11,13
184,FJT253,5,7
185,FJT254,11,4
186,FJT257,3,0
187,FJT258,11,9
188,FJT262,11,10
189,FJT263,11,6
190,FJT265,11,5
191,FJT273,11,4
192,FJT274,3,1
193,FJT275,11,12
194,FJT276,3,1
195,FJT277,13,13
196,FJT278,13,11
197,FJT279,13,13
198,FJT280,11,7
199,FJT281,3,4
200,FJT282,11,10
201,FJT283,3,4
202,FJT284,5,0
203,FJT285,3,8
204,FJT286,12,4
205,FJT287,3,10
206,FJT288,5,1
207,FJT289,13,9
208,FJT290,13,13
209,FJT291,5,12
210,FJT292,13,9
211,FJT293,10,2
212,FJT294,13,12
213,FJT295,13,11
214,FJT296,13,1
215,FJT297,3,0
216,FJT298,1,7
217,FJT299,1,0
218,FJT300,1,9
219,FJT301,1,11
220,FJT302,1,0
221,FJT303,4,0
222,FJT304,6,9
223,FJT305,6,3
224,FJT306,1,6
225,FJT307,13,11
226,FJT308,10,8
227,FJT309,1,12
228,FJT310,5,10
229,FJT311,5,2
230,FJT312,6,8
231,FJT313,5,7
232,FJT314,12,1
233,FJT315,6,0
234,FJT316,6,12
235,FJT317,10,1
236,FJT318,10,4
237,FJT319,10,3
238,FJT320,5,4
239,FJT321,6,11
240,FJT322,4,4
241,FJT323,9,0
242,FJT325,4,11
243,FJT326,9,5
244,FJT327,13,9
245,FJT328,8,13
246,FJT329,10,2
247,FJT330,0,2
248,FJT331,0,2
249,FJT332,0,2
250,FJT333,0,2
251,FJT334,0,2
252,FJT335,0,2
253,FJT336,0,2
254,FJT338,0,2
255,FJT339,0,2
256,FJT340,0,2
257,FJT341,0,2
258,FJT342,7,12
259,FJT343,0,2
260,FJT344,0,2
261,FJT345,0,2
262,FJT346,0,2
263,FJT348,0,2
264,FJT349,0,2
265,FJT350,0,2
266,FJT351,0,2
267,FJT352,7,12
268,FJT353,0,2
269,FJT354,0,2
270,FLU001,12,1
271,FLU002,10,13
272,FLU003,10,10
273,FLU004,10,13
274,FOL031,3,1
275,FOL032,11,2
276,FOL035,3,10
277,FOL036,10,12
278,FOL037,0,2
279,FOL038,0,2
280,FOT010,0,2
281,FPB002,11,5
282,FPB003,11,12
283,FPB004,3,12
284,FPG028,11,6
285,FPG042,11,7
286,FPG043,11,13
287,FPG044,11,12
288,FPG045,11,5
289,FPG046,11,7
290,FPG047,11,4
291,FPG048,11,6
292,FPG049,11,12
293,FPG050,11,0
294,FPG051,11,11
295,FPG052,11,4
296,FPG053,11,9
297,FPG054,11,0
298,FPG055,11,0
299,FPG056,3,5
300,FPG057,3,4
301,FPG058,3,9
302,FPG060,3,0
303,FPG061,0,2
304,FPG062,13,7
305,FPG063,6,8
306,FPG064,0,2
307,FPG065,0,2
308,FPG066,0,2
309,FPG067,0,2
310,FPG069,0,2
311,FPJ043,10,5
312,FPJ044,10,4
313,FPJ045,5,11
314,FPJ046,10,13
315,FPJ047,5,6
316,FPJ048,6,10
317,FPJ049,6,0
318,FPJ050,6,2
319,FPJ051,6,10
320,FPJ052,10,8
321,FPJ053,6,12
322,FPJ054,6,11
323,FPJ055,10,1
324,FPJ056,10,4
325,FPJ057,10,8
326,FPJ058,10,6
327,FPJ059,5,8
328,FPJ060,0,2
329,FPL034,11,11
330,FPL038,3,5
331,FPL039,10,6
332,FPL040,10,10
333,FPL041,0,2
334,FPL042,0,2
335,FPT089,3,10
336,FPT090,11,2
337,FPT091,11,11
338,FPT092,11,1
339,FPT093,11,0
340,FPT094,11,12
341,FPT095,11,6
342,FPT096,11,8
343,FPT097,11,6
344,FPT098,11,1
345,FPT099,3,12
346,FPT101,3,11
347,FPT102,13,3
348,FPT103,5,8
349,FPT104,3,10
350,FPT105,13,7
351,FPT106,3,6
352,FPT107,6,1
353,FPT108,13,12
354,FPT109,13,7
355,FPT110,5,12
356,FPT111,13,12
357,FPT112,4,1
358,FPT113,9,6
359,FPT114,9,10
360,FPT115,7,12
361,FPT116,6,3
362,FPT117,0,2
363,FPT118,0,2
364,FPT119,0,2
365,FPT120,0,2
366,FPT121,0,2
367,FPT122,0,2
368,FPT123,0,2
369,FPT124,0,2
370,FPT125,0,2
371,FPT126,0,2
372,FPT127,0,2
373,FPT128,0,2
374,FPT129,0,2
375,FPT130,0,2
376,FPT145,0,2
377,FRC013,13,5
378,FRC014,13,1
379,FRC015,5,3
380,FRC016,5,7
381,FRC017,5,10
382,FRC018,5,13
383,FRC019,5,12
384,FRC020,0,2
385,FRC021,0,2
386,FRC022,0,2
387,FRC023,0,2
388,FRC024,0,2
389,FSO011,3,0
390,FSO013,11,8
391,FSO014,3,9
392,FSO015,13,1
393,FSO016,13,6
394,FSO017,13,0
395,FSO018,1,12
396,FSO019,13,6
397,FSO020,13,6
398,FSO021,13,0
399,FSO022,10,10
400,FSO023,0,2
401,FSO024,0,2
402,FSO025,0,2
403,FSO027,0,2
404,FSO028,0,2
405,FTU107,11,4
406,FTU108,3,10
407,FTU109,11,8
408,FTU110,3,12
409,FTU111,0,2
410,FTU113,0,2
411,FTU207,11,3
412,FTU208,3,8
413,FTU209,3,6
414,FTU210,13,5
415,FTU211,0,2
416,FTU213,0,2
417,FTU301,11,10
418,FTU302,11,7
419,FTU405,2,9
420,FTU607,0,2
421,FTU710,3,9
422,FTU711,3,4
423,FTU713,11,11
424,FTU715,3,3
425,FTU717,0,2
426,FTU718,0,2
427,FTU719,0,2
428,FTU720,0,2
429,FTU721,0,2
430,FTU722,0,2
431,TPB001,11,2
432,TPB003,11,7
